dataset	cache_policy	cache_ratio	hit_rate
PA	degree	0.24	0.82345
PA	degree	0.25	0.836997
PA	degree	0.26	0.849958
PA	degree	0.27	0.862085
PA	degree	0.28	0.868457
PA	degree	0.29	0.879216
PA	degree	0.3	0.889641
PA	degree	0.31	0.899644
PA	degree	0.32	0.904313
PA	degree	0.33	0.913142
PA	degree	0.34	0.921552
PA	degree	0.35	0.925355
PA	degree	0.36	0.932612
PA	degree	0.37	0.936978
PA	degree	0.38	0.942372
PA	degree	0.39	0.947266
PA	degree	0.4	0.951004
PA	degree	0.41	0.954279
PA	degree	0.42	0.958526
PA	degree	0.43	0.960825
PA	degree	0.44	0.964914
PA	degree	0.45	0.966706
PA	degree	0.46	0.969615
PA	degree	0.47	0.972084
PA	degree	0.48	0.973395
PA	degree	0.49	0.975454
PA	degree	0.5	0.97733
PA	degree	0.51	0.978813
PA	degree	0.52	0.97998
PA	degree	0.53	0.982678
PA	degree	0.54	0.983171
PA	degree	0.55	0.984439
PA	degree	0.56	0.985364
PA	degree	0.57	0.987791
PA	degree	0.58	0.98822
PA	degree	0.59	0.989188
PA	degree	0.6	0.989917
PA	degree	0.61	0.99148
PA	degree	0.62	0.992609
PA	degree	0.63	0.993323
PA	degree	0.64	0.993909
PA	degree	0.65	0.99488
PA	degree	0.66	0.996274
PA	degree	0.67	0.996609
PA	degree	0.68	0.996938
PA	degree	0.69	0.997494
PA	degree	0.7	0.998317
PA	degree	0.71	0.998493
PA	degree	0.72	0.998496
PA	degree	0.73	0.998496
PA	degree	0.74	0.998496
PA	degree	0.75	0.998496
PA	degree	0.76	0.998496
PA	degree	0.77	0.998496
PA	degree	0.78	0.998496
PA	degree	0.79	0.998497
PA	degree	0.8	0.998528
PA	degree	0.81	0.998604
PA	degree	0.82	0.998679
PA	degree	0.83	0.998708
PA	degree	0.84	0.998719
PA	degree	0.85	0.998728
PA	degree	0.86	0.998749
PA	degree	0.87	0.998768
PA	degree	0.88	0.998832
PA	degree	0.89	0.998934
PA	degree	0.9	0.999063
PA	degree	0.91	0.999186
PA	degree	0.92	0.99931
PA	degree	0.93	0.999432
PA	degree	0.94	0.999553
PA	degree	0.95	0.999767
PA	degree	0.96	0.999908
PA	degree	0.97	0.999966
PA	degree	0.98	0.999968
PA	degree	0.99	0.999982
PA	degree	1	1
PA	presample	0	0
PA	presample	0.01	0.7461
PA	presample	0.02	0.872793
PA	presample	0.03	0.923449
PA	presample	0.04	0.949221
PA	presample	0.05	0.963545
PA	presample	0.06	0.973432
PA	presample	0.07	0.982423
PA	presample	0.08	0.98322
PA	presample	0.09	0.983915
PA	presample	0.1	0.984364
PA	presample	0.11	0.984839
PA	presample	0.12	0.985007
PA	presample	0.13	0.98574
PA	presample	0.14	0.986352
PA	presample	0.15	0.986369
PA	presample	0.16	0.986387
